Professor Name
Hector Aguilar
Hadi Arman
Stephan B. H. Bach
Mark Davidson
Victoria Dougherty
Michael P. Doyle
Gerardo A. Elguezabal
Walter C. Ermler
Doug Frantz
John H. Frederick
Waldemar Gorski
Harry Wellington Jarrett III
Audrey Lamb
Oleg Larionov
Aimin Liu
Blain Mamiya
Akanksha Matta
Stanton F. McHardy
Ghezai T. Musie
Fatima Mustafa
Sarah Oerther
Wei Reeves
Raymond Sadeghi
Kirk Schanze
Philipp Schmidpeter
Susan Thomas
Zachary J. Tonzetich
Syed Muhammad Usama
Jonathan Velasco
Judith A. Walmsley
Fang Xu
Francis K. Yoshimoto
John C.-G. Zhao
Taslima Akter
Hend Alkittawi
Benjamin Anderson
Samuel Ang
Imtiaz Arafat
Fatma Arslan
Rajkumar Banoth
Mitra Bokaei Hosseini
Rajendra Boppana
Mohammad Imran Chowdhury
Anthony Chronopoulos
Subhasish Das
Kevin Desai
Ali Dogru
Amanda Fernandez
Matthew Gibson-Lopez
Lynn Ginader
Mauricio Gomez
Keith Harrison
John Heaps
Benjamin Heruska
Murtuza Jadliwala
Turgay Korkmaz
Dhireesha Kudithipudi
Palden Lama
Byron Long
Panagiotis (Panos) Markopoulos
Fred Martin
Peyman Najafirad (Paul Rad)
Ziad Najem
Jianwei Niu
John Ortiz
Sushil Prasad
John Quarles
Kay Robbins
Steve Robbins
Jianhua Ruan
Linda Rutherford
Amin Sahba
Ramin Sahba
Ravi Sandhu
Jessica Sherette
Murtaza Ahmed Siddiqi
Sam Silvestro
Rocky Slavin
Maryam Tabar
Kumar Thummapudi
Juan Valadez
Wei Wang
Xiaoyin Wang
Kirsten Webbe
Gregory White
Mimi Xie
Ke Yang
Timothy Yuen
Weining Zhang
Zijie Zhang
Dakai Zhu
Stephen Ackley
Mahsa Afra
Stuart Birnbaum
John (Matt) Cannon
Saugata Datta
Alan Dutton
Yongli Gao
Alexis Godet
Judy Haschenburger
Newfel Mazari
Alberto Mestas-Nuñez
Kaushik Mitra
Jeffrey Neathery
Robert Smith
Eric Swanson
Janet Vote
Blake Weissling
Alan Whittington
Hongjie Xie
Alfonso Fernandez
Chris Glein
Harshad Vijay Kulkarni
Emmanuel Akwar
Gabriel Alaniz
Ann-Geneve Asis
Natalie Avshman
Edwin Barea-Rodriguez
Jessica Beckham
Brian Brigham
Janis Bush
J. Aaron Cassill
Taylor Clanton
Susan Dalterio
Izaak De Leon
Donna Degen
Jurgen Engelberth
Hector Fox Figueroa
Andrew Foster
Jason Gagliardi
Jesus Garza-Decanini
Stephanie Gdovin
Matthew Grunstra
Chandra Hamilton
Luis S. Haro
Tanoya Harris
Eddie Hernandez
Mariah Hopkins
Jeffrey Hutchinson
Christopher Johnson
Amy Jones
Monica Juarez
Bijal Karia
Amelia King-Kostelac
Diqui LaPenta
Brian Laub
Chin-Hsing Annie Lin
Martha Lundell
Fernando Martinez
Terri Matiella
Kareem Mattis
Nicolas Medrano
Richard Nuckels
Ferhat Ozturk
Emily Pavlik
Andrew Rodriguez
James Allen Rogers
Mary Sears
David M. Senseman
Nicholas Shumpert
Kalin Skinner
Stephani Slowik
Valerie Sponsel
Eugene Sprague
Robert Thompson
Lisa Trevino
Matthew Troia
Oscar Van Auken
Allison Veach
Adam Wiejaczka
Gwen Young
Nicholas Young
Antonio Alvarez
Andleeb Ara
Julian Chavez
Brian Fedors
Susana L. Padilla
Michelle Phillips
Steven Quezada
Devra Wooten
Shantae Wright
Reza Aghayan
Armando Arciniega
Davood Barakat
Sean Beatty
Sage Bentley
Manuel P. Berriozabal
Jonathan Brucks
Sara (Shaun) Buckley
Yuriy Bulka
Gerald Busald
Erika Tatiana Camacho
Weiming Cao
Fengxin Chen
Henry Chimal-Dzul
Youn-Min Chou
Eduardo Duenez
Christopher Duffer
Karen J. Duncan
Carol Dyas
Alperen Ergür
Mostafa Fazly
Jessica Gehrtz
Dmitry Gokhman
Juan B. Gutierrez
Quichen Hai
Igor Halfin
Vu Hoang
Jose Iovino
Zhiyuan Jia
M. Carolina Jimenez
Stacy Jones
Floran Kacaku
Massy Khoshbin
Glenn Lahodny
Elizabeth Lambert
Dung Le
Stephen Lee
Su Liang
Alyssa Luna
Carolyn Luna
Erin Lunsford
Jose Morales
Ghassan Nasr
Vu Nguyen
Sandy Norman
Ernesto Olivarez
Cody Olsen
Jose Palacios
Stephen Pena
Ramon Perez
Mihai Popa
Gelu Popescu
Priya V. Prasad
Zhuolin Qu
Walter Richardson
Cynthia Roberts
Nikos Salingaros
Matthew Schurmann
Benjamin Sencindiver
Zachery Sharon
Gani Stamov
Ivanka Stamova
Joseph Stein
Ivan Toledo
Betty Travis
Tina Vega
Claire Walton
Deborah Weissling
Gregory Wene
Barbara Williams
Lawrence Williams
Stephen Wirkus
Tong Wu
Ilse Rosales Cooper
Iliana Salazar
Alejandra Vicencio
Carey Walls
Aanuoluwa A. Adelani
Hamid Badali
Hong Cai
Althea Campuzano
Astrid E. Cardona
Sandra Cardona
James P. Chambers
Ana Chamoun-Emanuelli
Mark Eppinger
Thomas Forsthuber
M. Neal Guentzel
Kirsten Hanson
Hans W. Heidner
Chia George Hsu
Chiung-Yu Hung
Karl Klose
Venkatesh Kumaresan
Soo Chan Lee
José Lopez-Ribot
Rahul Raghavan
Jesús A. Romo
Stephen Saville
Janakiram Seshu
Sara Shields-Menard
Judy M. Teale
Luan Vu
Yufeng Wang
Jieh-Juen Yu
Guoquan Zhang
Yan Zhang
Xhavit Zogaj
Paola Zucchi
Timothy Anderson
Bernard Arulanandam
Ricardo Carrion
Ian Cheeseman
